start,end,strategy,final_equity,total_return,cagr,vol,max_drawdown,sharpe,sortino,avg_pct_invested,strategy_key,row_kind
1960-10-14,2026-08-31,ActuallyFinance GTT,16881201.386515163,1687.1201386515163,0.11941336041602724,0.1304616053161265,-0.26861251667906727,0.607554609410673,0.863331720701713,0.8686734632321892,actuallyfinance_gtt,strategy
1960-10-14,2026-08-31,Philosophical Economics GTT #1: Retail Sales,14442638.776715312,1443.2638776715312,0.1167654492124719,0.14127084969227868,-0.4881951984509183,0.5547036178753902,0.7874346310295708,0.9113229172950473,pe_gtt_1_retail_sales,strategy
1960-10-14,2026-08-31,Philosophical Economics GTT #2: Industrial Production,19664516.24401938,1965.4516244019383,0.12200962992850894,0.14583723178760025,-0.32961632046194533,0.5742578520509586,0.8104348386464933,0.9365989020932618,pe_gtt_2_industrial_production,strategy
1960-10-14,2026-08-31,Philosophical Economics GTT #3: Retail Sales or Industrial Production,20951375.1040867,2094.13751040867,0.12308975576347936,0.13509758879096617,-0.3579168452099639,0.6155230009342125,0.8812183374838757,0.8870724497798154,pe_gtt_3_retail_or_industrial,strategy
1960-10-14,2026-08-31,Philosophical Economics GTT #4: Employment Growth,19343780.123879395,1933.3780123879396,0.12172958252345789,0.14291217449296342,-0.33717261131099174,0.5814610481368258,0.8129347611182715,0.9057730590577306,pe_gtt_4_employment,strategy
1960-10-14,2026-08-31,Philosophical Economics GTT #5: Real Income or Housing Starts,12903532.357378334,1289.3532357378333,0.11485686899938341,0.1220239417239349,-0.2672324251842464,0.6074688694506163,0.8582812846863177,0.830367376485492,pe_gtt_5_income_or_housing,strategy
1960-10-14,2026-08-31,Philosophical Economics GTT #6: Unemployment Rate Trend,16093714.223115414,1608.3714223115414,0.11860190642385615,0.13917214860195198,-0.33717261131099174,0.5731824160576809,0.7988697370363737,0.8833926524702902,pe_gtt_6_unrate,strategy
1960-10-14,2026-08-31,200D SMA always on,8253465.796662803,824.3465796662803,0.10732010986606921,0.11064923739223355,-0.2391775552807115,0.5965121564935679,0.8388112437966962,0.7536345538999819,benchmark_sma,benchmark
1960-10-14,2026-08-31,Buy and hold,8316133.740785522,830.6133740785523,0.10744726155242601,0.16466624267193078,-0.5518944695569898,0.44642183746901104,0.6284723153947349,1.0,benchmark_buy_hold,benchmark
