,Close,sma_200,trend_above_sma,trip_count,timing_on,combined_invested,always_timing_invested,signal_score,combined_equity,always_timing_equity,buy_hold_equity,combined_growth_10k,always_timing_growth_10k,buy_hold_growth_10k,trend_level
1960-10-31,0.8989428831241616,0.9241025712327601,False,2,True,False,False,3.0,1.001062922450396,1.001062922450396,0.9746079842269311,10010.62922450396,10010.62922450396,9746.079842269311,0.9241025712327601
1960-11-30,0.9375965209629754,0.9252799524490186,True,2,True,True,True,3.0,1.015224280478014,1.015224280478014,1.0165151451426497,10152.24280478014,10152.24280478014,10165.151451426498,0.9252799524490186
1960-12-31,0.9836844422718208,0.9308891100960034,True,2,True,True,True,3.0,1.0651280244695596,1.0651280244695596,1.0664823420883751,10651.280244695596,10651.280244695596,10664.823420883751,0.9308891100960034
1961-01-31,1.0482955634989464,0.940440178117068,True,4,True,True,True,5.0,1.135088585960675,1.135088585960675,1.1365318589152562,11350.88585960675,11350.88585960675,11365.318589152563,0.940440178117068
1961-02-28,1.0787772104577311,0.9542394701878482,True,4,True,True,True,5.0,1.1680939431795074,1.1680939431795074,1.169579182673105,11680.939431795074,11680.939431795074,11695.79182673105,0.9542394701878482
1961-03-31,1.1090794607353878,0.9713761177415815,True,4,True,True,True,5.0,1.2009050506731687,1.2009050506731687,1.20243200971592,12009.050506731686,12009.050506731686,12024.3200971592,0.9713761177415815
1961-04-30,1.1158610674790312,0.9888233910339058,True,4,True,True,True,5.0,1.2082481366092477,1.2082481366092477,1.2097844324363396,12082.481366092477,12082.481366092477,12097.844324363396,0.9888233910339058
1961-05-31,1.1399208171440398,1.011349067208175,True,4,True,True,True,5.0,1.2342998992768952,1.2342998992768952,1.2358693200996418,12342.998992768951,12342.998992768951,12358.693200996418,1.011349067208175
1961-06-30,1.1097949714804485,1.0304184914852241,True,3,True,True,True,4.0,1.2016798017148875,1.2016798017148875,1.2032077458589252,12016.798017148876,12016.798017148876,12032.077458589252,1.0304184914852241
1961-07-31,1.148787202078006,1.0525179972377294,True,2,True,True,True,3.0,1.2439003714029886,1.2439003714029886,1.2454819992921642,12439.003714029886,12439.003714029886,12454.819992921643,1.0525179972377294
1961-08-31,1.1743785464416538,1.0817598063775056,True,2,True,True,True,3.0,1.2716105362629921,1.2716105362629921,1.2732273978176312,12716.105362629922,12716.105362629922,12732.273978176312,1.0817598063775056
1961-09-30,1.153865915627349,1.1035306135465375,True,2,True,True,True,3.0,1.249399574091572,1.249399574091572,1.2509881942548393,12493.99574091572,12493.99574091572,12509.881942548393,1.1035306135465375
