start,end,strategy,final_equity,total_return,cagr,vol,max_drawdown,sharpe,sortino,avg_pct_invested,strategy_key,row_kind
1961-07-31,2026-05-31,ActuallyFinance GTT,13830890.613975255,1382.0890613975255,0.11801017631572219,0.1262394480532727,-0.29659464185752005,0.6114496286974306,0.9388846732987938,0.8690629011553274,actuallyfinance_gtt,strategy
1961-07-31,2026-05-31,Philosophical Economics GTT #1: Retail Sales,9627601.929677382,961.7601929677381,0.11178037376328676,0.1338558914775792,-0.4507083597882434,0.5424477958538138,0.8133108183848715,0.9101412066752247,pe_gtt_1_retail_sales,strategy
1961-07-31,2026-05-31,Philosophical Economics GTT #2: Industrial Production,13337865.893483346,1332.7865893483347,0.11738441411875011,0.13447821698229065,-0.29659464185752005,0.5777737951241407,0.8824292556264102,0.9358151476251605,pe_gtt_2_industrial_production,strategy
1961-07-31,2026-05-31,Philosophical Economics GTT #3: Retail Sales or Industrial Production,13663692.301359586,1365.3692301359586,0.11780045930883709,0.12910694445878657,-0.3074163324861774,0.5992623358107416,0.9192176689964955,0.8844672657252889,pe_gtt_3_retail_or_industrial,strategy
1961-07-31,2026-05-31,Philosophical Economics GTT #4: Employment Growth,13737563.810701236,1372.7563810701236,0.11789342622352339,0.13128507181224489,-0.29659464185752005,0.592435665905012,0.9051463510513179,0.9037227214377407,pe_gtt_4_employment,strategy
1961-07-31,2026-05-31,Philosophical Economics GTT #5: Real Income or Housing Starts,7758729.459610599,774.8729459610599,0.10808560142481594,0.11932448481760807,-0.23273344156410447,0.5655246928020958,0.8585328012528425,0.82798459563543,pe_gtt_5_income_or_housing,strategy
1961-07-31,2026-05-31,Philosophical Economics GTT #6: Unemployment Rate Trend,13784654.096000127,1377.4654096000127,0.11795243256692789,0.12994365309623288,-0.29659464185752005,0.5973317951155539,0.9114838062349496,0.8857509627727856,pe_gtt_6_unrate,strategy
1961-07-31,2026-05-31,10M MA always on,4924160.173658009,491.4160173658008,0.10034185233163773,0.11065869088336168,-0.23297349886230212,0.537108426341426,0.8042383544315915,0.7509627727856226,benchmark_sma,benchmark
1961-07-31,2026-05-31,Buy and hold,6568113.269520731,655.811326952073,0.10524193890835831,0.14906553158555264,-0.5078479436395127,0.4620789132980367,0.685517155312772,1.0,benchmark_buy_hold,benchmark
