,Close,cash_return,sma_200,daily_return,trend_above_sma,always_timing_invested,buy_hold_invested,always_timing_return,buy_hold_return,always_timing_equity,buy_hold_equity,always_timing_growth_10k,buy_hold_growth_10k,trip_count,signal_score,timing_on,combined_invested,combined_return,combined_equity,combined_growth_10k
1960-12-13,0.9613505196696621,9.295477615278713e-05,0.9265726624385464,0.0006588359689858603,True,True,True,0.0006588359689858603,0.0006588359689858603,1.0409449777142872,1.042268546422601,10409.449777142872,10422.68546422601,2,3.0,True,True,0.0006588359689858603,1.0409449777142872,10409.449777142872
1960-12-14,0.9608003133836389,9.295477615300918e-05,0.926765236248103,-0.000572326404121859,True,True,True,-0.000572326404121859,-0.000572326404121859,1.0403492174183033,1.0416720286132977,10403.492174183033,10416.720286132977,2,3.0,True,True,-0.000572326404121859,1.0403492174183033,10403.492174183033
1960-12-15,0.9582212673834484,9.295477615256509e-05,0.9269764243778232,-0.0026842684835394204,True,True,True,-0.0026842684835394204,-0.0026842684835394204,1.0375566408021124,1.0388759012167064,10375.566408021125,10388.759012167064,2,3.0,True,True,-0.0026842684835394204,1.0375566408021124,10375.566408021125
1960-12-16,0.9671389906331538,9.295477615300918e-05,0.9273007782823766,0.009306538639093809,True,True,True,0.009306538639093809,0.009306538639093809,1.0472127017699857,1.048544239932603,10472.127017699857,10485.44239932603,2,3.0,True,True,0.009306538639093809,1.0472127017699857,10472.127017699857
1960-12-19,0.9660819903969879,9.295477615278713e-05,0.9276365526131258,-0.0010929145101200577,True,True,True,-0.0010929145101200577,-0.0010929145101200577,1.0460681878130393,1.0473982707182778,10460.681878130394,10473.982707182779,2,3.0,True,True,-0.0010929145101200577,1.0460681878130393,10460.681878130394
1960-12-20,0.9655320495903761,9.295477615278713e-05,0.9280142947640067,-0.0005692485856049201,True,True,True,-0.0005692485856049201,-0.0005692485856049201,1.0454727149766805,1.0468020407341063,10454.727149766804,10468.020407341062,2,3.0,True,True,-0.0005692485856049201,1.0454727149766805,10454.727149766804
1960-12-21,0.9734392834264315,9.295477615278713e-05,0.9284763024028696,0.008189509441359322,True,True,True,0.008189509441359322,0.008189509441359322,1.0540346236466656,1.0553748359299324,10540.346236466656,10553.748359299325,2,3.0,True,True,0.008189509441359322,1.0540346236466656,10540.346236466656
1960-12-22,0.9708601209250487,9.295477615278713e-05,0.9288778708298415,-0.002649536078207504,True,True,True,-0.002649536078207504,-0.002649536078207504,1.0512419208836339,1.0525785822261038,10512.41920883634,10525.785822261038,2,3.0,True,True,-0.002649536078207504,1.0512419208836339,10512.41920883634
1960-12-23,0.9718332620604265,9.295477615278713e-05,0.9293010271349043,0.0010023494779562991,True,True,True,0.0010023494779562991,0.0010023494779562991,1.0522956326742374,1.0536336338185062,10522.956326742375,10536.336338185061,2,3.0,True,True,0.0010023494779562991,1.0522956326742374,10522.956326742375
1960-12-27,0.9733143250151424,9.295477615278713e-05,0.929697215966638,0.0015239887463573965,True,True,True,0.0015239887463573965,0.0015239887463573965,1.053899319376274,1.0552393596192293,10538.99319376274,10552.393596192293,2,3.0,True,True,0.0015239887463573965,1.053899319376274,10538.99319376274
1960-12-28,0.9778419366094143,9.295477615278713e-05,0.9301088629764691,0.004651746591936234,True,True,True,0.004651746591936234,0.004651746591936234,1.0588017919434265,1.060148065714015,10588.017919434265,10601.48065714015,2,3.0,True,True,0.004651746591936234,1.0588017919434265,10588.017919434265
1960-12-29,0.9825400115799467,9.295477615278713e-05,0.930508788696168,0.004804534142627048,True,True,True,0.004804534142627048,0.004804534142627048,1.0638888413030934,1.065241583291978,10638.888413030934,10652.41583291978,2,3.0,True,True,0.004804534142627048,1.0638888413030934,10638.888413030934
1960-12-30,0.9836844422718208,9.295477615278713e-05,0.9308891100960034,0.001164767519272747,True,True,True,0.001164767519272747,0.001164767519272747,1.06512802446956,1.0664823420883751,10651.2802446956,10664.823420883751,2,3.0,True,True,0.001164767519272747,1.06512802446956,10651.2802446956
1961-01-03,0.974653488991264,8.829996541415142e-05,0.9312302792542986,-0.009180742210072812,True,True,True,-0.009180742210072812,-0.009180742210072812,1.0553493586561808,1.056691242634067,10553.493586561808,10566.91242634067,2,3.0,True,True,-0.009180742210072812,1.0553493586561808,10553.493586561808
1961-01-04,0.9881398051288428,8.829996541415142e-05,0.9316341626474346,0.01383703674168002,True,True,True,0.01383703674168002,0.01383703674168002,1.069952266507215,1.0713127181830062,10699.52266507215,10713.127181830063,2,3.0,True,True,0.01383703674168002,1.069952266507215,10699.52266507215
